,importance
Feature_137,0.004641472324037912
Feature_4,0.004628976581406216
Feature_55,0.004623365744193404
Feature_57,0.0046136618439729426
Feature_144,0.004612502945846698
Feature_20,0.004611638747730883
Feature_10,0.004610724925272936
Feature_179,0.004602626117013598
Feature_181,0.004565059328960182
Feature_48,0.004554613667381097
Feature_47,0.004548217032340649
Feature_7,0.004543297079810344
Feature_2,0.0045404121768212145
Feature_97,0.004533915734958199
Feature_157,0.004525393386596979
Feature_177,0.0045200164647647345
Feature_187,0.004503652547329185
Feature_189,0.00450304892689689
Feature_183,0.0045020414625141225
Feature_134,0.004501876686049271
Feature_158,0.004501286383937972
Feature_168,0.00449345805851272
Feature_9,0.0044728742677132135
Feature_136,0.004470512688940564
Feature_56,0.004460804254285578
Feature_30,0.004435782752882871
Feature_49,0.004408698288065779
Feature_160,0.004390624735230481
Feature_52,0.004379905331968208
Feature_21,0.004373697679987797
Feature_19,0.004351030771816778
Feature_182,0.004343780087417448
Feature_36,0.004336119116576802
Feature_100,0.0043147365297294005
Feature_13,0.004299730087998196
Feature_124,0.004293692334988709
Feature_43,0.004273432474258481
Feature_54,0.0042716389625385
Feature_63,0.004256845416522699
Feature_131,0.0042529336827002275
Feature_33,0.004239296183249735
Feature_133,0.004236443408365421
Feature_40,0.004222599828167025
Feature_59,0.0042113149789401476
Feature_41,0.004202803402165148
Feature_6,0.004194732894880239
Feature_126,0.004182814330172461
Feature_46,0.004176248374810514
Feature_180,0.004175300405940824
Feature_138,0.004164396817948106
Feature_175,0.004161929065025546
Feature_29,0.004149970166881041
Feature_17,0.0041105018847345
Feature_37,0.004090693839703696
Feature_169,0.004074103467251537
Feature_60,0.004044580615464644
Feature_27,0.00402758075914826
Feature_5,0.004024556910162115
Feature_62,0.004021991455416487
Feature_51,0.004014632981229445
Feature_50,0.004008002943451898
Feature_23,0.003995453460463977
Feature_61,0.00398194885903413
Feature_12,0.003946369804932234
Feature_167,0.0039395334366845065
Feature_14,0.003928863178389857
Feature_11,0.0039278407980484036
Feature_25,0.0039243022013294195
Feature_32,0.003895546187820057
Feature_16,0.0038295441664808047
Feature_8,0.0038211732757875826
Feature_34,0.0036795368367416458
